x,y
0,21.315865041295183
1,20.152789743984055
2,2.545997078887318
3,22.91616150071478
4,34.213359738904806
5,25.79914439281103
6,40.65511585692119
7,44.08548525714969
8,48.04291430934033
9,51.25399789407059
10,62.330261899535984
11,75.03037373812212
12,58.349343294832366
13,83.28274077982704
14,80.2863013012466
15,87.45137612830348
16,76.63397788168956
17,94.35136878448635
18,112.84537001836583
19,92.20195114214724
20,88.22271719342093
21,95.56627704101092
22,120.66070164000551
23,146.84967330711098
24,139.23691253409424
25,149.72622213307827
26,138.99149215835243
27,156.97996377093574
28,145.28752012034218
29,159.1320418485964
30,155.32682811326433
31,157.50690985894522
32,169.32708295759952
33,168.23857985072664
34,191.0847308086348
35,184.95013279233092
36,192.00209988252348
37,189.62367662914468
38,210.56472263755154
39,195.6803049799879
40,214.60231551226312
41,209.4912810856013
42,208.60566640237448
43,218.10662783115347
44,219.95408857730047
45,230.87302361289488
46,234.60859753936566
47,246.12169936313222
48,253.65152669656626
49,251.5257974227298
50,257.74094663183814
51,265.8909420380393
52,262.601209286673
53,280.08160019926606
54,286.4222473838266
55,285.0358079732748
56,311.94703664884537
57,302.1745893751043
58,296.8772752880584
59,299.3781955285776
60,305.67817744055907
61,307.98271100405134
62,329.2878515310988
63,316.02189969528285
64,327.18877816183056
65,327.7070391900051
66,348.46182856808264
67,328.81443970776604
68,344.37500816844357
69,351.7809430883811
70,361.19356421091226
71,367.60902901671716
72,365.8421010766948
73,382.8907245749944
74,381.14753778811735
75,407.676510564346
76,372.91678512836785
77,399.2060066300861
78,387.5486746248556
79,395.01991182327754
80,427.8508459142573
81,430.448141483393
82,399.43814519388854
83,420.77226300897
84,427.341521522888
85,411.68287891518395
86,437.5116948866125
87,446.9334121708174
88,450.1726514511804
89,433.05606230258945
90,469.0770823478265
91,465.4454397664799
92,467.380879705076
93,465.461070392523
94,485.1195901651984
95,492.18269151479416
96,483.1790686116452
97,493.89587612589514
98,506.2699862266227
99,483.45487879998495
100,509.1747566102664
101,493.925431118756
102,508.7709073515105
103,527.6975143408305
104,526.5563323697304
105,528.9986164801427
106,535.0401614706079
107,551.4820860902165
108,555.0683045475164
109,545.1273107375281
110,560.9294072483196
111,558.2919274851448
112,592.0432560593734
113,565.6064326149133
114,574.8717124266291
115,579.5111808178251
116,583.6097376377999
117,594.4110416806443
118,600.7304932009531
119,586.814292521842
120,602.2688663844041
121,599.7955245410855
122,630.3620532618681
123,647.6532508206147
124,641.8323222953552
125,636.4623311535119
126,648.2251610723414
127,644.6681026701973
128,664.5671662447829
129,659.6788960883345
130,655.7005335622528
131,651.7044880556621
132,661.6003739577151
133,676.1383052155901
134,665.7416401926195
135,680.7820686360051
136,701.3992630995755
137,693.2930971094316
138,717.8538574608939
139,717.4716560066822
140,705.1237058634941
141,699.40689426894
142,717.5195867477058
143,718.1921265986798
144,731.7775308596534
145,749.1440797414547
146,726.7689596477562
147,739.1127205314519
148,751.3234994953152
149,764.349731730819
