39,3,0,1,1,28.7,32.575,65,7.0015,2011,7,5,1,1
627,3,0,1,2,35.26,37.12,30,0.0,2012,7,3,1,18
744,2,0,1,1,29.52,32.575,32,30.0026,2012,6,13,2,18
280,3,0,1,1,27.06,31.06,61,15.0013,2011,9,1,3,20
172,1,0,1,1,9.02,11.365,51,11.0014,2011,1,6,3,17
305,3,0,1,1,29.52,34.09,62,15.0013,2011,8,1,0,20
174,1,0,1,3,14.76,17.425,87,12.998,2012,3,2,4,19
37,3,0,1,2,21.32,25.0,72,11.0014,2011,9,19,0,0
446,2,0,1,1,29.52,32.575,45,7.0015,2012,5,16,2,16
4,2,0,1,1,22.14,25.76,88,0.0,2012,5,2,2,4
186,3,0,1,1,31.16,35.605,58,6.0032,2011,8,8,0,21
185,1,0,1,1,16.4,20.455,62,16.9979,2011,3,17,3,9
248,3,0,1,1,18.86,22.725,63,22.0028,2011,9,15,3,20
267,2,0,1,1,28.7,32.575,54,8.9981,2012,5,16,2,11
3,2,0,1,1,20.5,24.24,63,15.0013,2011,5,11,2,3
327,2,0,0,1,31.16,34.85,55,0.0,2011,6,18,5,13
72,1,0,1,1,4.92,7.575,54,8.9981,2011,1,13,3,7
316,2,0,1,1,24.6,29.545,20,12.998,2012,4,3,1,15
198,2,0,1,1,23.78,27.275,83,0.0,2011,5,16,0,20
55,4,0,0,1,10.66,15.15,87,0.0,2011,12,4,6,8
284,3,0,1,1,31.16,36.365,66,7.0015,2011,7,5,1,20
40,1,0,0,1,10.66,12.88,41,15.0013,2011,2,12,5,20
3,1,0,1,1,5.74,6.06,50,19.9995,2011,1,13,3,5
465,4,0,1,1,22.96,26.515,60,6.0032,2011,10,7,4,18
384,1,0,0,1,16.4,20.455,43,19.0012,2012,2,18,5,13
93,2,0,1,1,13.12,16.665,53,8.9981,2011,4,1,4,21
233,4,0,0,1,22.14,25.76,52,26.0027,2011,10,16,6,19
2,1,0,1,1,0.82,2.275,41,12.998,2012,1,4,2,4
333,3,0,0,1,26.24,30.305,69,7.0015,2011,9,11,6,19
9,4,0,1,1,10.66,11.365,56,19.9995,2011,12,1,3,2
2,1,0,1,1,10.66,12.88,60,15.0013,2012,2,3,4,4
641,2,0,1,1,28.7,32.575,54,31.0009,2012,5,4,4,18
270,2,0,1,2,21.32,25.0,83,12.998,2011,5,13,4,19
64,3,0,1,3,26.24,28.79,83,12.998,2012,8,14,1,6
163,4,0,1,3,24.6,27.275,88,8.9981,2012,10,2,1,14
138,1,0,0,1,13.94,16.665,76,8.9981,2012,1,1,6,11
20,4,0,1,3,18.86,22.725,88,15.0013,2011,12,6,1,5
195,3,0,1,1,26.24,30.305,73,6.0032,2011,9,12,0,21
328,2,0,1,3,26.24,28.79,83,16.9979,2011,6,17,4,19
56,4,0,0,1,18.86,22.725,59,12.998,2011,10,15,5,2
281,2,0,0,2,19.68,23.485,77,7.0015,2011,5,1,6,12
266,3,0,1,2,30.34,34.09,58,8.9981,2012,7,9,0,12
56,1,0,0,2,9.84,11.365,56,12.998,2012,2,19,6,8
11,4,1,0,1,18.86,22.725,88,0.0,2011,10,10,0,3
252,4,0,1,1,18.04,21.97,67,6.0032,2011,11,3,3,19
373,2,0,0,1,31.98,37.12,59,19.0012,2011,6,12,6,13
558,2,0,1,1,29.52,31.82,25,19.0012,2011,6,3,4,17
641,3,0,0,1,31.16,33.335,37,16.9979,2012,8,18,5,16
43,2,0,0,2,14.76,17.425,81,15.0013,2011,4,16,5,0
486,2,0,0,1,25.42,30.305,17,23.9994,2012,4,8,6,15
8,2,0,1,1,22.14,25.76,60,6.0032,2012,6,8,4,3
79,1,0,1,1,10.66,11.365,33,22.0028,2011,1,5,2,12
398,4,0,1,1,14.76,17.425,40,12.998,2011,12,13,1,17
547,3,0,1,1,36.08,39.395,35,16.9979,2012,7,17,1,19
35,3,0,1,1,27.06,29.545,89,8.9981,2011,7,7,3,0
538,2,0,1,1,22.96,26.515,73,19.9995,2012,6,6,2,19
